,Unique_ID,Similarity_Score),,,,
0,0,[[0.28103888]],,,,
1,1,[[0.20449433]],,,,
2,2,[[0.3940849]],,,,
3,3,[[0.24217808]],,,,
4,4,[[0.22596337]],,,,
5,5,[[0.23710704]],,,,
6,6,[[0.18731138]],,,,
7,7,[[0.3842478]],,,,
8,8,[[0.22207186]],,,,
9,9,[[0.19026086]],,,,
10,10,[[0.19159058]],,,,
11,11,[[0.16032678]],,,,
12,12,[[0.23039044]],,,,
13,13,[[0.3667889]],,,,
14,14,[[0.33055902]],,,,
15,15,[[0.32731223]],,,,
16,16,[[0.1655555]],,,,
17,17,[[0.14147013]],,,,
18,18,[[0.35944915]],,,,
19,19,[[0.4392488]],,,,
20,20,[[0.23773855]],,,,
21,21,[[0.35375]],,,,
22,22,[[0.33577865]],,,,
23,23,[[0.11688738]],,,,
24,24,[[0.20050244]],,,,
25,25,[[0.33219224]],,,,
26,26,[[0.11766224]],,,,
27,27,[[0.5004965]],,,,
28,28,[[0.4306774]],,,,
29,29,[[0.34738094]],,,,
30,30,[[-0.03064437]],,,,
31,31,[[0.03150552]],,,,
32,32,[[0.3746813]],,,,
33,33,[[0.3632599]],,,,
34,34,[[0.08392794]],,,,
35,35,[[0.15151076]],,,,
36,36,[[0.36299497]],,,,
37,37,[[0.3551421]],,,,
38,38,[[0.10554156]],,,,
39,39,[[0.24230978]],,,,
40,40,[[0.28820333]],,,,
41,41,[[0.20362526]],,,,
42,42,[[0.40390587]],,,,
43,43,[[0.3682298]],,,,
44,44,[[0.29128417]],,,,
45,45,[[0.49322858]],,,,
46,46,[[0.28835103]],,,,
47,47,[[0.2073178]],,,,
48,48,[[0.31595835]],,,,
49,49,[[0.25293967]],,,,
50,50,[[0.49452358]],,,,
51,51,[[0.17124534]],,,,
52,52,[[0.05516368]],,,,
53,53,[[0.09765871]],,,,
54,54,[[0.1258651]],,,,
55,55,[[0.4953497]],,,,
56,56,[[0.28786254]],,,,
57,57,[[0.32476568]],,,,
58,58,[[0.38714725]],,,,
59,59,[[0.2202796]],,,,
60,60,[[0.30321264]],,,,
61,61,[[0.31718874]],,,,
62,62,[[0.12676978]],,,,
63,63,[[0.15320626]],,,,
64,64,[[0.23438953]],,,,
65,65,[[0.18588418]],,,,
66,66,[[0.32654825]],,,,
67,67,[[0.32653806]],,,,
68,68,[[0.28197837]],,,,
69,69,[[0.3155332]],,,,
70,70,[[0.25069213]],,,,
71,71,[[0.19105823]],,,,
72,72,[[0.23122905]],,,,
73,73,[[0.434093]],,,,
74,74,[[0.17475969]],,,,
75,75,[[0.30064258]],,,,
76,76,[[0.20574144]],,,,
77,77,[[0.15976876]],,,,
78,78,[[0.46453434]],,,,
79,79,[[0.30883685]],,,,
80,80,[[0.37254542]],,,,
81,81,[[0.31734106]],,,,
82,82,[[0.2472763]],,,,
83,83,[[0.21263883]],,,,
84,84,[[0.1124026]],,,,
85,85,[[0.21638814]],,,,
86,86,[[0.23179607]],,,,
87,87,[[0.26019484]],,,,
88,88,[[0.27196032]],,,,
89,89,[[0.1543267]],,,,
90,90,[[0.08173388]],,,,
91,91,[[0.3536924]],,,,
92,92,[[0.14253004]],,,,
93,93,[[0.33765078]],,,,
94,94,[[0.3115132]],,,,
95,95,[[0.03643734]],,,,
96,96,[[0.2159966]],,,,
97,97,[[0.19404562]],,,,
98,98,[[0.3027907]],,,,
99,99,[[0.25048447]],,,,
100,100,[[-0.00974095]],,,,
101,101,[[0.18246552]],,,,
102,102,[[0.00679767]],,,,
103,103,[[0.3052823]],,,,
104,104,[[0.1256316]],,,,
105,105,[[0.32017866]],,,,
106,106,[[0.20935565]],,,,
107,107,[[0.19285753]],,,,
108,108,[[0.22541922]],,,,
109,109,[[0.12225451]],,,,
110,110,[[0.3280558]],,,,
111,111,[[0.3341235]],,,,
112,112,[[0.31866926]],,,,
113,113,[[0.28827435]],,,,
114,114,[[0.13403757]],,,,
115,115,[[0.574947]],,,,
116,116,[[0.42363736]],,,,
117,117,[[0.19303668]],,,,
118,118,[[0.24393365]],,,,
119,119,[[0.26445687]],,,,
120,120,[[0.3436946]],,,,
121,121,[[0.26585382]],,,,
122,122,[[0.35066128]],,,,
123,123,[[0.19024406]],,,,
124,124,[[0.3954913]],,,,
125,125,[[0.27556252]],,,,
126,126,[[0.3455388]],,,,
127,127,[[0.43669066]],,,,
128,128,[[0.13532203]],,,,
129,129,[[0.32686877]],,,,
130,130,[[0.1572091]],,,,
131,131,[[0.25085127]],,,,
132,132,[[0.15721527]],,,,
133,133,[[0.13481925]],,,,
134,134,[[0.17103982]],,,,
135,135,[[0.38978523]],,,,
136,136,[[0.22148836]],,,,
137,137,[[0.24515301]],,,,
138,138,[[0.29655424]],,,,
139,139,[[0.25595763]],,,,
140,140,[[0.24691251]],,,,
141,141,[[0.27108318]],,,,
142,142,[[0.12197913]],,,,
143,143,[[0.1474933]],,,,
144,144,[[0.3151095]],,,,
145,145,[[0.2157942]],,,,
146,146,[[0.4512607]],,,,
147,147,[[0.38268182]],,,,
148,148,[[0.26930285]],,,,
149,149,[[0.2572567]],,,,
150,150,[[0.46430737]],,,,
